id	name	prereq	subseq	type	alias	description
1	Shoulder Roll		Dive Roll, Shoulder Vault	Roll	Parkour Roll	A role over a shoulder, which is typically used after dropping from a height or out of an over-rotated flip. A proper Shoulder Roll travels from the shoulder, across the back, and to the opposite hip.
2	Dive Roll	Shoulder Roll	360 Dive Roll, Kong Dive Roll, Lache Dive Roll, Roll Bomb	Roll		A diving Shoulder Roll.
3	360 Dive Roll	Dive Roll	270 Dive Side Sumi, 360 Dive Cartwheel, 360 Dive Front Flip, 360 Dive Handstand, 360 Dive Kong 360 Dive Roll, 360 Dive Roll Bomb, 360 Kong, 540 Dive Roll, 720 Dive Roll	Roll/Twist	Full Twisting Dive Roll, Vortex	Full twisting Dive Roll. This can be done with a full twist on the way up on the arch of the dive, half twist up and half twist down, or a full twist on the way down.
4	540 Dive Roll	360 Dive Roll	540 Dive Front Flip, 540 Dive Roll Bomb, Kick 540 Dive Roll	Roll/Twist	One and a half twisting Dive Roll.	One-and-a-half twisting Dive Roll.
5	720 Dive Roll	360 Dive Roll	1080 Dive Roll, 720 Dive Roll Bomb	Roll/Twist	Double Twisting Dive Roll	Double full twisting Dive Roll.
6	1080 Dive Roll	720 Dive Roll		Roll/Twist	Triple Twisting Dive Roll	Triple full twisting Dive Roll.
7	Wall Back Spin			Wall		Back Spin against a wall. Reference the Break Dancing move Back Spin.
8	Back Spin			Roll		A sideways roll performed along the edge of a wall or rail.
9	Roll Bomb	Dive Roll	Roll Bomb 360 Dive Roll, Roll Bomb Full	Roll/Flip		A roll off a ledge into a side or front tuck.
10	360 Dive Roll Bomb	360 Dive Roll	720 Dive Roll Bomb	Roll/Flip/Twist	Morph Bomb	360 twisting Dive Roll off a ledge into a side or front tuck. This move was created by Cato Aspmo in 2012.
11	540 Dive Roll Bomb	540 Dive Roll		Roll/Flip/Twist	540 Morph Bomb	540 twisting Dive Roll off a ledge into a side or front tuck. This move was created by Aaron Hakala in 2012.
12	Shoulder Vault	Shoulder Roll	Shoulder Vault 360, Shoulder Vault-In Back-Out	Vault		A vault performed by rolling only over the shoulders.
13	360 Dive Front Flip	360 Dive Roll, Front Flip	360 Dive Front Dash-Out, 360 Dive Front Unwind Half, Knee 360 Dive Front Flip, Punch Wall Full-Up Inward Front	Flip/Twist	Vortex Front, Pig Skin, Psycho Crusher	360 dive into a front tuck.
14	Inward 360 Dive Roll		Inward 360 Dive Roll Bomb, Inward 540 Roll, Inward 720 Dive Roll, Inward Dive Touchdown Twist	Roll/Twist	Inward Vortex	A diving Masterswipe, which forms the first 180 degrees, collapsed into a roll, completing the 360 degree twist. Reference Club540.com for Masterswipe.
15	270 Dive Side Sumi	360 Dive Roll, Side Flip		Flip/Twist	Sloppy Joe	A three-quarter dive twist into a Side Sumi.
16	360 Dive Handstand	360 Dive Roll, Handstand	540 Dive Back Handspring	Twist/Handstand	Vortex Handstand	360 dive to Handstand.
17	Monkey Vault		Cast Vault, Kong Vault	Vault		From standing, a two-handed vault where both legs are pulled between the arms as both hands push off the obstacle.
18	Kong Vault	Monkey Vault	360 Kong, Dive Kong, Kash Vault, Kong 360, Kong Cat, Kong Front, Kong Gainer, Kong Precision, Kong Rebound, Kong Side, Kong Trapdoor Wall Flip, Kong Tunnel, One-Hand Kong, Slant Kong Gainer	Vault	King Kong Vault, Cat Pass	A run and dive into a Monkey Vault.
19	Reverse Kong		Cast Bomb, Kong Reverse Kong, Reverse Double Kong	Vault	Push Kong, Push Vault, Reverse, Cat Pass, Reverse King Kong	A jump over an obstacle with a 180 turn that uses both hands to push away.
20	Double Kong	Dive Kong	Double Kong Front, Double Kong Gainer, Double Kong Precision, Double Kong Slant Gainer, Kong 360 Side Vault, Kong 360 Side Vault, Kong Dive Roll, Kong Handstand, Kong Reverse Kong, One-Hand Double Kong, Triple Kong	Vault	Double Cat Pass	Kong Vault into a dive to a consecutive Kong.
21	Dive Kong	Kong Vault	360 Dive Kong, Double Kong	Vault	Dive Cat Pass	An elongated Kong Vault with the body fully extended during the dive.
22	One-Hand Kong	Kong Vault	One-Hand Double Kong, One-Hand Kong Gainer	Vault	One-Hand Cat Pass	Kong Vault using one hand.
